41.148027, -8.619804
41.147694, -8.620353
41.1489, -8.620713
41.149701, -8.620875
41.14998, -8.620866
41.150367, -8.620983
41.150394, -8.621091
41.150844, -8.621082
41.152203, -8.620875
41.152464, -8.620713
41.152608, -8.620695
41.15421, -8.620965
41.155839, -8.62083
41.157333, -8.621172
41.158089, -8.622549
41.158926, -8.624043
41.15988, -8.624673
41.16123, -8.624736
41.162958, -8.62479
41.164137, -8.624817
41.164119, -8.624826
41.164479, -8.624844
41.165928, -8.624898
41.16672, -8.625069
41.166684, -8.625123
41.166684, -8.625123
41.166666, -8.625159
41.166666, -8.625177
41.167566, -8.625285
41.167953, -8.62533
41.168214, -8.625393
41.16969, -8.625699
41.171139, -8.626023
41.172813, -8.626419
41.173794, -8.625879
41.17428, -8.624448
41.175207, -8.623152
41.176053, -8.623791
41.176971, -8.624358
41.176989, -8.624385
41.17698, -8.624358
