,100,200,300,400,500
run_1,79.71875,278.546875,584.21875,1320.234375,1941.796875
run_2,77.8125,282.390625,587.90625,1321.625,1932.546875
run_3,78.765625,282.546875,581.265625,1324.203125,1940.875
run_4,78.890625,281.5,581.484375,1323.21875,1928.75
run_5,78.453125,286.53125,579.921875,1322.453125,1943.921875
run_6,79.09375,279.546875,581.796875,1317.140625,1927.109375
run_7,77.234375,282.1875,588.5,1316.65625,1939.046875
run_8,77.390625,280.796875,588.25,1324.375,1928.25
run_9,77.796875,280.75,583.78125,1320.109375,1940.390625
run_10,79.90625,282.921875,588.296875,1314.453125,1929.875
