,100,200,300,400,500,600,700,800,900,1000
run_1,0.953125,4.796875,11.140625,17.328125,33.40625,51.203125,62.9375,82.0,109.046875,130.671875
run_2,0.9375,4.0625,11.328125,16.65625,34.046875,52.15625,64.921875,81.0625,107.328125,130.859375
run_3,1.078125,4.4375,10.46875,17.875,32.8125,53.328125,62.4375,82.0,108.34375,126.6875
run_4,1.015625,4.78125,11.34375,17.5625,31.921875,52.203125,61.59375,81.828125,108.859375,129.296875
run_5,0.96875,4.328125,11.453125,17.796875,32.25,52.015625,64.3125,81.34375,107.34375,130.28125
run_6,1.09375,3.953125,10.8125,17.71875,32.828125,52.59375,62.46875,81.59375,109.71875,130.21875
run_7,0.84375,4.40625,11.71875,17.765625,34.40625,52.125,60.734375,81.71875,108.609375,129.09375
run_8,1.125,4.25,11.8125,17.359375,35.28125,51.796875,64.09375,80.234375,106.953125,128.3125
run_9,1.140625,4.203125,11.15625,17.703125,32.765625,51.703125,62.4375,81.96875,107.015625,129.8125
run_10,0.984375,4.609375,10.875,16.890625,34.046875,53.140625,63.296875,82.875,108.6875,126.75
