,100,200,300,400,500,600,700,800,900,1000
run_1,0.421875,1.96875,4.828125,8.328125,18.828125,34.296875,41.1875,47.546875,62.609375,68.609375
run_2,0.578125,2.484375,5.375,8.65625,19.515625,33.78125,41.171875,47.390625,62.515625,70.21875
run_3,0.46875,1.875,4.75,9.46875,20.453125,34.1875,41.328125,49.78125,62.265625,69.296875
run_4,0.421875,2.078125,4.578125,8.34375,18.90625,33.8125,40.140625,47.125,62.421875,66.1875
run_5,0.40625,2.328125,4.96875,9.09375,19.8125,35.140625,40.28125,46.484375,61.046875,66.09375
run_6,0.234375,2.015625,4.640625,8.578125,19.515625,35.5,40.328125,47.21875,61.4375,68.234375
run_7,0.296875,1.953125,4.78125,8.71875,19.4375,34.1875,41.546875,48.953125,63.5,68.640625
run_8,0.484375,2.125,4.921875,9.0,20.25,35.453125,39.359375,46.84375,62.328125,72.109375
run_9,0.359375,2.0,5.171875,9.9375,19.296875,34.640625,39.4375,47.34375,63.296875,69.859375
run_10,0.40625,2.015625,4.84375,8.515625,19.453125,34.828125,41.4375,46.8125,59.46875,68.890625
