INDEX,TRIP_ID,CALL_TYPE,TIMESTAMP,POLYLINE
36,1379621202620000344,C,1379621202,"[[-8.613774,41.13756],[-8.613621,41.137623],[-8.612514,41.137866],[-8.611308,41.138172],[-8.610165,41.138622],[-8.609373,41.138964],[-8.609283,41.13954],[-8.609661,41.140737],[-8.610786,41.141277],[-8.613945,41.141268],[-8.615151,41.140863],[-8.61633,41.140512],[-8.617986,41.141169],[-8.619273,41.141862],[-8.620542,41.142762],[-8.622018,41.14377],[-8.624025,41.144427],[-8.625483,41.144823],[-8.627067,41.144742],[-8.628624,41.144742],[-8.630451,41.145399],[-8.631828,41.146416],[-8.632728,41.147145],[-8.631567,41.148477],[-8.630352,41.149881],[-8.629272,41.151042],[-8.629119,41.151105],[-8.629092,41.151096],[-8.628741,41.152194],[-8.628696,41.152365],[-8.628696,41.152392],[-8.629947,41.152599],[-8.63163,41.152698],[-8.633358,41.152635],[-8.635131,41.15241],[-8.637948,41.152932],[-8.638407,41.153904],[-8.636985,41.156685],[-8.636013,41.158656],[-8.636121,41.159187]]"
43,1396680554620000424,C,1396680554,"[[-8.654625,41.160519],[-8.655111,41.16069],[-8.656227,41.161644],[-8.655777,41.162076],[-8.655705,41.162121],[-8.65593,41.162616],[-8.655993,41.163822],[-8.655012,41.164767],[-8.65332,41.16528],[-8.651889,41.165658],[-8.651358,41.166342],[-8.65134,41.166342],[-8.650953,41.166918],[-8.649513,41.167962],[-8.647974,41.168529],[-8.646255,41.168241],[-8.644167,41.169213],[-8.643015,41.170293],[-8.642178,41.171373],[-8.641521,41.172507]]"
63,1385560486620000137,B,1385560486,"[[-8.606484,41.144634],[-8.606493,41.144643],[-8.606781,41.144751],[-8.607411,41.145435],[-8.607078,41.146191],[-8.606898,41.146713],[-8.606862,41.146803],[-8.606817,41.146767],[-8.607186,41.147199],[-8.60805,41.14728],[-8.608293,41.147316],[-8.608284,41.147577],[-8.608284,41.147694],[-8.608275,41.14773],[-8.608221,41.147784],[-8.608239,41.147757],[-8.608698,41.147631],[-8.609634,41.147721],[-8.61039,41.147766],[-8.610543,41.147703],[-8.610561,41.147739],[-8.611191,41.147847],[-8.612082,41.147937],[-8.621532,41.147469],[-8.622261,41.147478]]"
92,1385919907620000408,C,1385919907,"[[-8.569944,41.160717],[-8.569926,41.160717],[-8.5698,41.160834]]"
113,1379193762620000476,C,1379193762,"[[-8.618139,41.152896],[-8.617068,41.152689],[-8.615592,41.152752],[-8.61534,41.152716],[-8.615106,41.152734],[-8.614044,41.152887],[-8.613657,41.152923],[-8.613486,41.153355],[-8.613459,41.153418],[-8.61345,41.153571],[-8.613081,41.153922],[-8.612019,41.15412],[-8.611893,41.155641],[-8.611614,41.156838],[-8.610381,41.157207],[-8.610381,41.157306],[-8.610075,41.157315],[-8.608473,41.157477],[-8.607321,41.157567],[-8.606565,41.158413],[-8.605323,41.158899],[-8.604477,41.159133],[-8.604432,41.159826],[-8.604495,41.160033],[-8.604261,41.160681],[-8.60427,41.161635]]"
121,1388951527620000448,B,1388951527,"[[-8.600166,41.182722],[-8.600238,41.182731],[-8.599833,41.182722],[-8.598582,41.182362],[-8.597385,41.18202],[-8.597808,41.180949],[-8.598555,41.179392],[-8.599266,41.177979],[-8.600067,41.176413],[-8.599977,41.174982],[-8.599851,41.174703],[-8.600922,41.173911],[-8.603433,41.173758],[-8.605791,41.173677],[-8.606574,41.172912],[-8.608878,41.173902],[-8.611929,41.174559],[-8.615376,41.174307],[-8.618931,41.173866],[-8.622288,41.173533],[-8.625645,41.1732],[-8.62911,41.172714],[-8.632611,41.171985],[-8.635923,41.171265],[-8.638839,41.169762],[-8.641485,41.167818],[-8.644203,41.166054],[-8.647056,41.16483],[-8.648784,41.164614],[-8.649486,41.163453],[-8.649909,41.161968],[-8.650566,41.161617],[-8.650845,41.161671],[-8.65089,41.16168],[-8.652357,41.161887],[-8.654364,41.162202],[-8.65503,41.162283],[-8.655012,41.162283],[-8.655786,41.162247],[-8.657199,41.161509],[-8.658936,41.160708],[-8.660907,41.159925],[-8.662896,41.15916],[-8.664327,41.158593],[-8.665101,41.15826],[-8.667288,41.157432],[-8.66934,41.156631],[-8.67069,41.156433],[-8.671212,41.157414],[-8.671302,41.157774],[-8.671257,41.157819],[-8.671266,41.157783],[-8.67132,41.157693],[-8.671347,41.157684],[-8.671338,41.157675],[-8.671302,41.157675],[-8.671266,41.157756],[-8.671257,41.157801],[-8.671248,41.157801],[-8.671284,41.157783]]"
158,1394217504620000066,C,1394217504,"[[-8.620353,41.147469],[-8.620353,41.14746],[-8.620317,41.14674],[-8.620281,41.146632],[-8.620218,41.146263]]"
166,1374117570620000574,B,1374117570,"[[-8.649189,41.1543],[-8.650242,41.153877],[-8.650296,41.153832],[-8.650305,41.153832],[-8.650026,41.153787],[-8.647524,41.154183],[-8.644446,41.154435],[-8.641431,41.15376],[-8.637606,41.152842],[-8.633331,41.152563],[-8.63001,41.152554],[-8.62704,41.152284],[-8.626419,41.152266],[-8.62578,41.152446],[-8.623557,41.152851],[-8.621163,41.15268],[-8.620974,41.152662],[-8.621127,41.153382],[-8.620893,41.155227],[-8.620848,41.155353],[-8.620011,41.155389],[-8.619228,41.155272],[-8.617374,41.154975],[-8.614269,41.154345],[-8.613531,41.154147],[-8.613297,41.153796],[-8.612244,41.153661],[-8.609319,41.153553],[-8.608068,41.153436],[-8.607969,41.153283]]"
233,1389793211620000067,A,1389793211,"[[-8.61156,41.168916],[-8.611605,41.168979],[-8.611632,41.169051],[-8.611677,41.16906],[-8.612235,41.16852],[-8.612307,41.168502],[-8.612172,41.167998],[-8.61201,41.167584],[-8.611848,41.167053],[-8.611659,41.166549],[-8.612253,41.166423],[-8.613414,41.166675],[-8.614773,41.167215],[-8.615844,41.167746],[-8.6175,41.167494],[-8.619381,41.167647],[-8.620686,41.167584],[-8.62227,41.167557],[-8.623683,41.167404],[-8.624142,41.167323],[-8.624178,41.167359],[-8.624151,41.167377],[-8.624124,41.167341],[-8.624142,41.167332],[-8.624196,41.167332],[-8.625186,41.167008],[-8.626806,41.166954],[-8.62803,41.167287],[-8.629173,41.167791],[-8.630325,41.168277],[-8.631657,41.16924],[-8.631801,41.169366],[-8.632197,41.170167],[-8.63271,41.171805],[-8.633277,41.17311],[-8.633331,41.173209],[-8.633385,41.172687],[-8.633718,41.171886],[-8.634663,41.17185],[-8.635212,41.17212],[-8.635311,41.172075],[-8.635284,41.172075],[-8.63532,41.172057],[-8.635284,41.172075]]"
279,1382542111620000330,A,1382542111,"[[-8.638371,41.172867],[-8.639046,41.172642],[-8.639568,41.172543],[-8.6391,41.17158],[-8.638164,41.170536],[-8.637084,41.169411],[-8.636778,41.169186],[-8.636715,41.169132],[-8.636535,41.169024],[-8.636517,41.169033],[-8.636508,41.169078],[-8.636508,41.169069],[-8.636229,41.168898],[-8.637237,41.168286],[-8.638407,41.167692],[-8.638551,41.166261],[-8.639811,41.166099],[-8.640126,41.166099],[-8.640207,41.166045],[-8.64054,41.166072],[-8.640468,41.167683],[-8.639865,41.1687],[-8.637849,41.170149],[-8.634681,41.171346],[-8.631027,41.17212],[-8.627904,41.172795],[-8.624592,41.173191],[-8.620713,41.173569],[-8.616681,41.173974],[-8.613117,41.174469],[-8.609634,41.174091],[-8.606169,41.172093],[-8.602119,41.17131],[-8.598546,41.171382],[-8.594856,41.171742],[-8.592102,41.170041],[-8.589528,41.168349],[-8.586927,41.166909],[-8.584794,41.166477],[-8.583057,41.165667],[-8.582193,41.164236],[-8.581779,41.163255],[-8.580663,41.163894],[-8.578989,41.164587],[-8.577693,41.165253],[-8.576919,41.165181],[-8.57619,41.163714],[-8.575218,41.162427],[-8.575587,41.161905],[-8.57691,41.16114],[-8.578566,41.160339],[-8.579988,41.159502],[-8.581842,41.159268],[-8.582958,41.158917],[-8.585127,41.15799],[-8.587512,41.157486],[-8.588934,41.157225],[-8.589258,41.157153],[-8.589267,41.157144],[-8.589357,41.157144]]"
